flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,source_pcap,label
"(6, '10.211.218.53', 64220, '104.208.16.88', 443)",5,226,82.3498330116272,45.2,5.564171097297422,40,52,20.5874582529068,20.502870224749138,0.36283185840707965,5,1.0,2.744389293030994,0.06071657727944678,copilot_007.pcap,copilot
"(6, '10.211.218.53', 57625, '104.208.16.88', 443)",5,226,77.72481894493103,45.2,5.564171097297422,40,52,19.431204736232758,19.70206380894787,0.36283185840707965,5,1.0,2.9076941325540266,0.06432951620694749,copilot_007.pcap,copilot
"(6, '10.211.218.53', 50167, '52.182.143.209', 443)",5,226,79.15128302574158,45.2,5.564171097297422,40,52,19.787820756435394,19.871310542415017,0.36283185840707965,5,1.0,2.8552916814563862,0.06317016994372536,copilot_007.pcap,copilot
"(6, '10.211.218.53', 60120, '172.188.155.25', 443)",9,524,119.46011996269226,58.22222222222222,24.22935674744713,40,106,14.932514995336533,19.72104855347376,0.43702290076335876,5,1.8,4.386401086518637,0.07533894995928955,copilot_007.pcap,copilot
"(17, '10.211.218.53', 60151, '10.211.218.77', 53)",2,262,0.0794532299041748,131.0,64.0,67,195,0.0794532299041748,0.0,0.25572519083969464,1,2.0,3297.5374357466294,25.17204149424908,copilot_007.pcap,copilot
"(17, '10.211.218.53', 58324, '10.211.218.77', 53)",2,261,0.07978105545043945,130.5,63.5,67,194,0.07978105545043945,0.0,0.2567049808429119,1,2.0,3271.453335963135,25.06860793841483,copilot_007.pcap,copilot
"(17, '10.211.218.53', 56768, '10.211.218.77', 53)",2,237,0.08001303672790527,118.5,51.5,67,170,0.08001303672790527,0.0,0.28270042194092826,1,2.0,2962.017312328106,24.99592668631313,copilot_007.pcap,copilot
"(17, '10.211.218.53', 62541, '10.211.218.77', 53)",2,272,0.06125903129577637,136.0,71.0,65,207,0.06125903129577637,0.0,0.23897058823529413,1,2.0,4440.161625911209,32.64824724934712,copilot_007.pcap,copilot
"(17, '10.211.218.53', 57704, '10.211.218.77', 53)",2,263,0.05812215805053711,131.5,66.5,65,198,0.05812215805053711,0.0,0.24714828897338403,1,2.0,4524.9524247073205,34.41028459853476,copilot_007.pcap,copilot
"(17, '10.211.218.53', 62708, '10.211.218.77', 53)",2,239,0.0735940933227539,119.5,54.5,65,174,0.0735940933227539,0.0,0.2719665271966527,1,2.0,3247.5432362736333,27.17609402739442,copilot_007.pcap,copilot
"(17, '10.211.218.53', 49775, '10.211.218.77', 53)",2,327,0.11232805252075195,163.5,84.5,79,248,0.11232805252075195,0.0,0.2415902140672783,2,1.0,2911.116080638794,17.804991318891705,copilot_007.pcap,copilot
"(17, '10.211.218.53', 56817, '10.211.218.77', 53)",1,79,1e-09,79.0,0.0,79,79,0.0,0.0,1.0,1,1.0,79000000000.0,999999999.9999999,copilot_007.pcap,copilot
"(17, '10.211.218.53', 54296, '10.211.218.77', 53)",2,282,0.11841702461242676,141.0,62.0,79,203,0.11841702461242676,0.0,0.2801418439716312,2,1.0,2381.4143356748955,16.889463373580817,copilot_007.pcap,copilot
"(17, '10.211.218.53', 60878, '10.211.218.77', 53)",2,327,0.1127629280090332,163.5,84.5,79,248,0.1127629280090332,0.0,0.2415902140672783,2,1.0,2899.889225772895,17.736325539895383,copilot_007.pcap,copilot
"(17, '10.211.218.53', 60243, '10.211.218.77', 53)",2,243,0.0317380428314209,121.5,57.5,64,179,0.0317380428314209,0.0,0.26337448559670784,1,2.0,7656.426745994186,63.015857991721695,copilot_007.pcap,copilot
"(17, '10.211.218.53', 55760, '10.211.218.77', 53)",2,252,0.031362056732177734,126.0,62.0,64,188,0.031362056732177734,0.0,0.25396825396825395,1,2.0,8035.187301394231,63.77132778884311,copilot_007.pcap,copilot
"(17, '10.211.218.53', 53623, '10.211.218.77', 53)",2,228,0.031085968017578125,114.0,50.0,64,164,0.031085968017578125,0.0,0.2807017543859649,1,2.0,7334.49895692723,64.33771014848448,copilot_007.pcap,copilot
"(17, '10.211.218.53', 59399, '10.211.218.77', 53)",14,2444,11.639503002166748,174.57142857142858,106.13516603552168,72,345,0.8953463847820575,1.7995783074448974,0.21644844517184944,7,2.0,209.97460111011938,1.202800497357476,copilot_007.pcap,copilot
"(17, '10.211.218.53', 60488, '10.211.218.77', 53)",11,1713,3.6346518993377686,155.72727272727272,90.10306311924737,60,266,0.36346518993377686,0.5884810308039155,0.258610624635143,6,1.8333333333333333,471.29685247495297,3.026424621847334,copilot_007.pcap,copilot
"(17, '10.211.218.53', 56251, '10.211.218.77', 53)",15,1972,11.593779802322388,131.46666666666667,68.12035101364512,60,265,0.8281271287373134,1.543678793559005,0.30628803245436104,8,1.875,170.09120697677753,1.2937972133122022,copilot_007.pcap,copilot
